data,data_inicio_mes,mes_numero,mes_nome,mes_nome_mmm,ano_yyyy,ano_yy,dia_numero,dia_nome,semestre
2024-08-02,2024-08-01,8,Agosto,Ago,2024,24,2,Sexta-Feira,2
2024-08-03,2024-08-01,8,Agosto,Ago,2024,24,3,Sábado,2
2024-08-04,2024-08-01,8,Agosto,Ago,2024,24,4,Domingo,2
2024-08-05,2024-08-01,8,Agosto,Ago,2024,24,5,Segunda-Feira,2
2024-08-06,2024-08-01,8,Agosto,Ago,2024,24,6,Terça-Feira,2
2024-08-07,2024-08-01,8,Agosto,Ago,2024,24,7,Quarta-Feira,2
2024-08-08,2024-08-01,8,Agosto,Ago,2024,24,8,Quinta-Feira,2
2024-08-09,2024-08-01,8,Agosto,Ago,2024,24,9,Sexta-Feira,2
2024-08-10,2024-08-01,8,Agosto,Ago,2024,24,10,Sábado,2
2024-08-11,2024-08-01,8,Agosto,Ago,2024,24,11,Domingo,2
2024-08-12,2024-08-01,8,Agosto,Ago,2024,24,12,Segunda-Feira,2
2024-08-13,2024-08-01,8,Agosto,Ago,2024,24,13,Terça-Feira,2
2024-08-14,2024-08-01,8,Agosto,Ago,2024,24,14,Quarta-Feira,2
2024-08-15,2024-08-01,8,Agosto,Ago,2024,24,15,Quinta-Feira,2
2024-08-16,2024-08-01,8,Agosto,Ago,2024,24,16,Sexta-Feira,2
2024-08-17,2024-08-01,8,Agosto,Ago,2024,24,17,Sábado,2
2024-08-18,2024-08-01,8,Agosto,Ago,2024,24,18,Domingo,2
2024-08-19,2024-08-01,8,Agosto,Ago,2024,24,19,Segunda-Feira,2
2024-08-20,2024-08-01,8,Agosto,Ago,2024,24,20,Terça-Feira,2
2024-08-21,2024-08-01,8,Agosto,Ago,2024,24,21,Quarta-Feira,2
2024-08-22,2024-08-01,8,Agosto,Ago,2024,24,22,Quinta-Feira,2
2024-08-23,2024-08-01,8,Agosto,Ago,2024,24,23,Sexta-Feira,2
2024-08-24,2024-08-01,8,Agosto,Ago,2024,24,24,Sábado,2
2024-08-25,2024-08-01,8,Agosto,Ago,2024,24,25,Domingo,2
2024-08-26,2024-08-01,8,Agosto,Ago,2024,24,26,Segunda-Feira,2
2024-08-27,2024-08-01,8,Agosto,Ago,2024,24,27,Terça-Feira,2
2024-08-28,2024-08-01,8,Agosto,Ago,2024,24,28,Quarta-Feira,2
2024-08-29,2024-08-01,8,Agosto,Ago,2024,24,29,Quinta-Feira,2
2024-08-30,2024-08-01,8,Agosto,Ago,2024,24,30,Sexta-Feira,2
2024-08-31,2024-08-01,8,Agosto,Ago,2024,24,31,Sábado,2
2022-10-01,2022-10-01,10,Outubro,Out,2022,22,1,Sábado,2
2022-10-02,2022-10-01,10,Outubro,Out,2022,22,2,Domingo,2
2022-10-03,2022-10-01,10,Outubro,Out,2022,22,3,Segunda-Feira,2
2022-10-04,2022-10-01,10,Outubro,Out,2022,22,4,Terça-Feira,2
2022-10-05,2022-10-01,10,Outubro,Out,2022,22,5,Quarta-Feira,2
2022-10-06,2022-10-01,10,Outubro,Out,2022,22,6,Quinta-Feira,2
2022-10-07,2022-10-01,10,Outubro,Out,2022,22,7,Sexta-Feira,2
2022-10-08,2022-10-01,10,Outubro,Out,2022,22,8,Sábado,2
2022-10-09,2022-10-01,10,Outubro,Out,2022,22,9,Domingo,2
2022-10-10,2022-10-01,10,Outubro,Out,2022,22,10,Segunda-Feira,2
2022-10-11,2022-10-01,10,Outubro,Out,2022,22,11,Terça-Feira,2
2022-10-12,2022-10-01,10,Outubro,Out,2022,22,12,Quarta-Feira,2
2022-10-13,2022-10-01,10,Outubro,Out,2022,22,13,Quinta-Feira,2
2022-10-14,2022-10-01,10,Outubro,Out,2022,22,14,Sexta-Feira,2
2022-10-15,2022-10-01,10,Outubro,Out,2022,22,15,Sábado,2
2022-10-16,2022-10-01,10,Outubro,Out,2022,22,16,Domingo,2
2022-10-17,2022-10-01,10,Outubro,Out,2022,22,17,Segunda-Feira,2
2022-10-18,2022-10-01,10,Outubro,Out,2022,22,18,Terça-Feira,2
2022-10-19,2022-10-01,10,Outubro,Out,2022,22,19,Quarta-Feira,2
2022-10-20,2022-10-01,10,Outubro,Out,2022,22,20,Quinta-Feira,2
2022-10-21,2022-10-01,10,Outubro,Out,2022,22,21,Sexta-Feira,2
2022-10-22,2022-10-01,10,Outubro,Out,2022,22,22,Sábado,2
2022-10-23,2022-10-01,10,Outubro,Out,2022,22,23,Domingo,2
2022-10-24,2022-10-01,10,Outubro,Out,2022,22,24,Segunda-Feira,2
2022-10-25,2022-10-01,10,Outubro,Out,2022,22,25,Terça-Feira,2
2022-10-26,2022-10-01,10,Outubro,Out,2022,22,26,Quarta-Feira,2
2022-10-27,2022-10-01,10,Outubro,Out,2022,22,27,Quinta-Feira,2
2022-10-28,2022-10-01,10,Outubro,Out,2022,22,28,Sexta-Feira,2
2022-10-29,2022-10-01,10,Outubro,Out,2022,22,29,Sábado,2
2022-10-30,2022-10-01,10,Outubro,Out,2022,22,30,Domingo,2
2022-10-31,2022-10-01,10,Outubro,Out,2022,22,31,Segunda-Feira,2
2023-10-01,2023-10-01,10,Outubro,Out,2023,23,1,Domingo,2
2023-10-02,2023-10-01,10,Outubro,Out,2023,23,2,Segunda-Feira,2
2023-10-03,2023-10-01,10,Outubro,Out,2023,23,3,Terça-Feira,2
2023-10-04,2023-10-01,10,Outubro,Out,2023,23,4,Quarta-Feira,2
2023-10-05,2023-10-01,10,Outubro,Out,2023,23,5,Quinta-Feira,2
2023-10-06,2023-10-01,10,Outubro,Out,2023,23,6,Sexta-Feira,2
2023-10-07,2023-10-01,10,Outubro,Out,2023,23,7,Sábado,2
2023-10-08,2023-10-01,10,Outubro,Out,2023,23,8,Domingo,2
2023-10-09,2023-10-01,10,Outubro,Out,2023,23,9,Segunda-Feira,2
2023-10-10,2023-10-01,10,Outubro,Out,2023,23,10,Terça-Feira,2
2023-10-11,2023-10-01,10,Outubro,Out,2023,23,11,Quarta-Feira,2
2023-10-12,2023-10-01,10,Outubro,Out,2023,23,12,Quinta-Feira,2
2023-10-13,2023-10-01,10,Outubro,Out,2023,23,13,Sexta-Feira,2
2023-10-14,2023-10-01,10,Outubro,Out,2023,23,14,Sábado,2
2023-10-15,2023-10-01,10,Outubro,Out,2023,23,15,Domingo,2
2023-10-16,2023-10-01,10,Outubro,Out,2023,23,16,Segunda-Feira,2
2023-10-17,2023-10-01,10,Outubro,Out,2023,23,17,Terça-Feira,2
2023-10-18,2023-10-01,10,Outubro,Out,2023,23,18,Quarta-Feira,2
2023-10-19,2023-10-01,10,Outubro,Out,2023,23,19,Quinta-Feira,2
2023-10-20,2023-10-01,10,Outubro,Out,2023,23,20,Sexta-Feira,2
2023-10-21,2023-10-01,10,Outubro,Out,2023,23,21,Sábado,2
2023-10-22,2023-10-01,10,Outubro,Out,2023,23,22,Domingo,2
2023-10-23,2023-10-01,10,Outubro,Out,2023,23,23,Segunda-Feira,2
2023-10-24,2023-10-01,10,Outubro,Out,2023,23,24,Terça-Feira,2
2023-10-25,2023-10-01,10,Outubro,Out,2023,23,25,Quarta-Feira,2
2023-10-26,2023-10-01,10,Outubro,Out,2023,23,26,Quinta-Feira,2
2023-10-27,2023-10-01,10,Outubro,Out,2023,23,27,Sexta-Feira,2
2023-10-28,2023-10-01,10,Outubro,Out,2023,23,28,Sábado,2
2023-10-29,2023-10-01,10,Outubro,Out,2023,23,29,Domingo,2
2023-10-30,2023-10-01,10,Outubro,Out,2023,23,30,Segunda-Feira,2
2023-10-31,2023-10-01,10,Outubro,Out,2023,23,31,Terça-Feira,2
2024-10-01,2024-10-01,10,Outubro,Out,2024,24,1,Terça-Feira,2
2024-10-02,2024-10-01,10,Outubro,Out,2024,24,2,Quarta-Feira,2
2024-10-03,2024-10-01,10,Outubro,Out,2024,24,3,Quinta-Feira,2
2024-10-04,2024-10-01,10,Outubro,Out,2024,24,4,Sexta-Feira,2
2024-10-05,2024-10-01,10,Outubro,Out,2024,24,5,Sábado,2
2024-10-06,2024-10-01,10,Outubro,Out,2024,24,6,Domingo,2
2024-10-07,2024-10-01,10,Outubro,Out,2024,24,7,Segunda-Feira,2
2024-10-08,2024-10-01,10,Outubro,Out,2024,24,8,Terça-Feira,2
2024-10-09,2024-10-01,10,Outubro,Out,2024,24,9,Quarta-Feira,2
2024-10-10,2024-10-01,10,Outubro,Out,2024,24,10,Quinta-Feira,2
2024-10-11,2024-10-01,10,Outubro,Out,2024,24,11,Sexta-Feira,2
2024-10-12,2024-10-01,10,Outubro,Out,2024,24,12,Sábado,2
2024-10-13,2024-10-01,10,Outubro,Out,2024,24,13,Domingo,2
2024-10-14,2024-10-01,10,Outubro,Out,2024,24,14,Segunda-Feira,2
2024-10-15,2024-10-01,10,Outubro,Out,2024,24,15,Terça-Feira,2
